Name,Type,County,Population (2010)
Adelanto,City,San Bernardino,"31,765"
Agoura Hills,City,Los Angeles,"20,330"
Alameda,City,Alameda,"73,812"
Albany,City,Alameda,"18,539"
Alhambra,City,Los Angeles,"83,089"
Aliso Viejo,City,Orange,"47,823"
Alturas,City,Modoc,"2,827"
Amador City,City,Amador,185
American Canyon,City,Napa,"19,454"
Anaheim,City,Orange,"3,36,265"
Anderson,City,Shasta,"9,932"
Angels Camp,City,Calaveras,"3,836"
Antioch,City,Contra Costa,"1,02,372"
Apple Valley,Town,San Bernardino,"69,135"
Arcadia,City,Los Angeles,"56,364"
Arcata,City,Humboldt,"17,231"
Arroyo Grande,City,San Luis Obispo,"17,252"
Artesia,City,Los Angeles,"16,522"
Arvin,City,Kern,"19,304"
Atascadero,City,San Luis Obispo,"28,310"
Atherton,Town,San Mateo,"6,914"
Atwater,City,Merced,"28,168"
Auburn,City,Placer,"13,330"
Avalon,City,Los Angeles,"3,728"
Avenal,City,Kings,"15,505"
Azusa,City,Los Angeles,"46,361"
Bakersfield,City,Kern,"3,47,483"
Baldwin Park,City,Los Angeles,"75,390"
Banning,City,Riverside,"29,603"
Barstow,City,San Bernardino,"22,639"
Beaumont,City,Riverside,"36,877"
Bell,City,Los Angeles,"35,477"
Bell Gardens,City,Los Angeles,"42,072"
Bellflower,City,Los Angeles,"76,616"
Belmont,City,San Mateo,"25,835"
Belvedere,City,Marin,"2,068"
Benicia,City,Solano,"26,997"
Berkeley,City,Alameda,"1,12,580"
Beverly Hills,City,Los Angeles,"34,109"
Big Bear Lake,City,San Bernardino,"5,019"
Biggs,City,Butte,"1,707"
Bishop,City,Inyo,"3,879"
Blue Lake,City,Humboldt,"1,253"
Blythe,City,Riverside,"20,817"
Bradbury,City,Los Angeles,"1,048"
Brawley,City,Imperial,"24,953"
Brea,City,Orange,"39,282"
Brentwood,City,Contra Costa,"51,481"
Brisbane,City,San Mateo,"4,282"
Buellton,City,Santa Barbara,"4,828"
Buena Park,City,Orange,"80,530"
Burbank,City,Los Angeles,"1,03,340"
Burlingame,City,San Mateo,"28,806"
Calabasas,City,Los Angeles,"23,058"
Calexico,City,Imperial,"38,572"
California City,City,Kern,"14,120"
Calimesa,City,Riverside,"7,879"
Calipatria,City,Imperial,"7,705"
Calistoga,City,Napa,"5,155"
Camarillo,City,Ventura,"65,201"
Campbell,City,Santa Clara,"39,349"
Canyon Lake,City,Riverside,"10,561"
Capitola,City,Santa Cruz,"9,918"
Carlsbad,City,San Diego,"1,05,328"
Carmel-by-the-Sea,City,Monterey,"3,722"
Carpinteria,City,Santa Barbara,"13,040"
Carson,City,Los Angeles,"91,714"
Cathedral City,City,Riverside,"51,200"
Ceres,City,Stanislaus,"45,417"
Cerritos,City,Los Angeles,"49,041"
Chico,City,Butte,"86,187"
Chino,City,San Bernardino,"77,983"
Chino Hills,City,San Bernardino,"74,799"
Chowchilla,City,Madera,"18,720"
Chula Vista,City,San Diego,"2,43,916"
Citrus Heights,City,Sacramento,"83,301"
